ListingKey,ListingCreationDate,Term,LoanStatus,ClosedDate,BorrowerAPR,BorrowerRate,ProsperScore,ListingCategory (numeric),BorrowerState,Occupation,EmploymentStatus,EmploymentStatusDuration,IsBorrowerHomeowner,CreditScoreRangeLower,CreditScoreRangeUpper,IncomeRange,IncomeVerifiable,StatedMonthlyIncome,LoanOriginalAmount,Recommendations,Investors
0F483544120452347F48121,2012,36,Defaulted,2012,0.35796999999999995,0.3177,5,13,FL,Other,Other,121,True,700,719,"$50,000-74,999",True,5500,4000,0,10
101B35764008108187B2EBA,2013,36,Defaulted,2013,0.28031999999999996,0.2419,5,15,IL,Skilled Labor,Employed,3,False,680,699,"$25,000-49,999",True,2500,2000,0,30
0F4F3571508214190FD75CB,2013,60,Completed,2013,0.30748000000000003,0.2809,3,1,NY,Sales - Commission,Employed,25,False,660,679,"$25,000-49,999",True,3886,4000,0,37
0F5034867864161084F3789,2010,36,Completed,2013,0.11295999999999999,0.092,9,1,CO,Executive,Full-time,10,True,700,719,"$75,000-99,999",True,6667,4000,0,121
0F57353904771934596FE9F,2012,36,Completed,2012,0.12782000000000002,0.0999,9,20,CA,Other,Employed,44,False,740,759,"$25,000-49,999",True,3750,10000,0,30
0F6B3496936961316AEE1B2,2010,36,Completed,2012,0.08191,0.0785,10,7,IL,Other,Employed,7,False,760,779,"$100,000+",True,13083,16000,0,326
0FEA35330893790885F63E8,2011,36,Chargedoff,2013,0.29394000000000003,0.2552,5,1,NY,Construction,Employed,155,True,720,739,"$100,000+",True,9167,2000,0,2
0F2535122339224397B0FB9,2011,12,Completed,2012,0.35843,0.2669,3,1,CA,Professional,Employed,70,False,600,619,"$50,000-74,999",True,4777,3000,0,32
0DDD3513251820967144478,2011,36,Completed,2013,0.2951,0.2599,6,7,FL,Other,Employed,34,False,660,679,"$100,000+",True,8333,4500,0,49
0DEB351032566848818E832,2011,36,Chargedoff,2013,0.35643,0.3199,5,7,FL,Fireman,Employed,213,True,680,699,"$50,000-74,999",True,5314,2500,0,50
0DF535815829610812D7705,2013,36,Chargedoff,2014,0.32538,0.2859,2,19,KS,Skilled Labor,Employed,72,False,660,679,"$50,000-74,999",True,4750,4000,0,42
0DFD35069860903300C7973,2011,36,Completed,2012,0.13109,0.1099,8,6,VA,Analyst,Full-time,21,True,760,779,"$75,000-99,999",True,6467,5600,0,114
1066354838733351352FBF8,2012,36,Chargedoff,2012,0.33553,0.2958,6,7,GA,Accountant/CPA,Employed,117,False,660,679,"$25,000-49,999",True,3250,4000,0,11
107D3547498442173689AFA,2012,36,Completed,2014,0.33973000000000003,0.2999,3,1,GA,Professional,Employed,127,True,640,659,"$25,000-49,999",True,3333,4000,0,35
10803531522293214B198DF,2011,36,Completed,2012,0.35643,0.3199,3,7,CO,Construction,Employed,5,True,700,719,"$75,000-99,999",True,6250,4000,0,48
0FD13502904293521146412,2010,36,Completed,2011,0.35858,0.322,5,1,MN,Other,Employed,25,False,700,719,"$25,000-49,999",True,2250,3500,0,54
0FEC354965230800369FB27,2012,60,Chargedoff,2013,0.27462,0.2489,7,18,MN,Laborer,Employed,166,True,680,699,"$50,000-74,999",True,5417,7000,0,152
0F67356860455769574096F,2013,36,Chargedoff,2013,0.35356,0.3134,3,13,CA,Other,Not employed,12,False,720,739,Not employed,False,0,4000,0,73
0F823461624751165710F76,2009,36,Completed,2012,0.15529,0.1338,9,1,MD,Professional,Full-time,94,True,720,739,"$100,000+",True,15000,10000,0,293
